<<<<<<< HEAD
"","sound.files","selec","start","end","species","bottom.freq","top.freq","relative.amp","dist","distance_m","relative_dir","vol","col_dir","col_spec","TA"
"1","1_100N_AF_100.mp3",1,0,20,"AF",5.22962239583333,5.32962239583333,0.0171977977003642,"100N",100,"N","100","#BC4749","#79A356","T"
"2","1_100N_AF_75.mp3",2,0,20,"AF",5.22962239583333,5.32962239583333,0.00697736251469321,"100N",100,"N","75","#BC4749","#79A356","T"
"3","1_100N_BG_100.mp3",3,0,20,"BG",6.83006230529595,6.93006230529595,0.00881438682532705,"100N",100,"N","100","#BC4749","#BC4749","T"
"4","1_100N_CW5_75.mp3",6,0,20,"CW5",2.9530701754386,3.0530701754386,0.0105596087307333,"100N",100,"N","75","#BC4749","#2A9D8F","T"
"5","1_100N_EWP_100.mp3",7,0,20,"EWP",4.15535714285714,4.25535714285714,0.0122921911814428,"100N",100,"N","100","#BC4749","#FFB703","T"
"6","1_100N_YBC_100.mp3",8,0,20,"YBC",1.65287356321839,1.75287356321839,0.0152469713085105,"100N",100,"N","100","#BC4749","#283618","T"
"7","10_50W_AF_100.mp3",9,0,20,"AF",5.22962239583333,5.32962239583333,0.0636471938299197,"50W",50,"W","100","#2A9D8F","#79A356","T"
"8","10_50W_AF_75.mp3",10,0,20,"AF",5.22962239583333,5.32962239583333,0.0444972166972851,"50W",50,"W","75","#2A9D8F","#79A356","T"
"9","10_50W_BG_100.mp3",11,0,20,"BG",6.83006230529595,6.93006230529595,0.017108024629968,"50W",50,"W","100","#2A9D8F","#BC4749","T"
"10","10_50W_BG_75.mp3",12,0,20,"BG",6.83006230529595,6.93006230529595,0.00876872399788083,"50W",50,"W","75","#2A9D8F","#BC4749","T"
"11","10_50W_CW5_50.mp3",15,0,20,"CW5",2.9530701754386,3.0530701754386,0.0383871901127571,"50W",50,"W","50","#2A9D8F","#2A9D8F","T"
"12","10_50W_CW5_75.mp3",16,0,20,"CW5",2.9530701754386,3.0530701754386,0.140027850980073,"50W",50,"W","75","#2A9D8F","#2A9D8F","T"
"13","10_50W_EWP_100.mp3",17,0,20,"EWP",4.15535714285714,4.25535714285714,0.0416526767308736,"50W",50,"W","100","#2A9D8F","#FFB703","T"
"14","10_50W_EWP_75.mp3",18,0,20,"EWP",4.15535714285714,4.25535714285714,0.0141149006404078,"50W",50,"W","75","#2A9D8F","#FFB703","T"
"15","10_50W_YBC_100.mp3",19,0,20,"YBC",1.65287356321839,1.75287356321839,0.0442702409891961,"50W",50,"W","100","#2A9D8F","#283618","T"
"16","10_50W_YBC_75.mp3",20,0,20,"YBC",1.65287356321839,1.75287356321839,0.0217035728650445,"50W",50,"W","75","#2A9D8F","#283618","T"
"17","11_75W_AF_100.mp3",21,0,20,"AF",5.22962239583333,5.32962239583333,0.0235531922952186,"75W",75,"W","100","#2A9D8F","#79A356","T"
"18","11_75W_AF_75.mp3",22,0,20,"AF",5.22962239583333,5.32962239583333,0.0162733930493765,"75W",75,"W","75","#2A9D8F","#79A356","T"
"19","11_75W_BG_100.mp3",23,0,20,"BG",6.83006230529595,6.93006230529595,0.00678824209480175,"75W",75,"W","100","#2A9D8F","#BC4749","T"
"20","11_75W_BG_75.mp3",24,0,20,"BG",6.83006230529595,6.93006230529595,0.00420226864882291,"75W",75,"W","75","#2A9D8F","#BC4749","T"
"21","11_75W_CW5_50.mp3",27,0,20,"CW5",2.9530701754386,3.0530701754386,0.0116313444837389,"75W",75,"W","50","#2A9D8F","#2A9D8F","T"
"22","11_75W_CW5_75.mp3",28,0,20,"CW5",2.9530701754386,3.0530701754386,0.0414018499535463,"75W",75,"W","75","#2A9D8F","#2A9D8F","T"
"23","11_75W_EWP_100.mp3",29,0,20,"EWP",4.15535714285714,4.25535714285714,0.00789256223938089,"75W",75,"W","100","#2A9D8F","#FFB703","T"
"24","11_75W_EWP_75.mp3",30,0,20,"EWP",4.15535714285714,4.25535714285714,0.00755475554605012,"75W",75,"W","75","#2A9D8F","#FFB703","T"
"25","11_75W_YBC_100.mp3",31,0,20,"YBC",1.65287356321839,1.75287356321839,0.0166968935375457,"75W",75,"W","100","#2A9D8F","#283618","T"
"26","11_75W_YBC_75.mp3",32,0,20,"YBC",1.65287356321839,1.75287356321839,0.0104448719218297,"75W",75,"W","75","#2A9D8F","#283618","T"
"27","12_100W_AF_100.mp3",33,0,20,"AF",5.22962239583333,5.32962239583333,0.00765823751344802,"100W",100,"W","100","#2A9D8F","#79A356","T"
"28","12_100W_AF_75.mp3",34,0,20,"AF",5.22962239583333,5.32962239583333,0.00754472295835166,"100W",100,"W","75","#2A9D8F","#79A356","T"
"29","12_100W_BG_100.mp3",35,0,20,"BG",6.83006230529595,6.93006230529595,0.00553411857254016,"100W",100,"W","100","#2A9D8F","#BC4749","T"
"30","12_100W_BG_75.mp3",36,0,20,"BG",6.83006230529595,6.93006230529595,0.00225247872872592,"100W",100,"W","75","#2A9D8F","#BC4749","T"
"31","12_100W_CW5_50.mp3",39,0,20,"CW5",2.9530701754386,3.0530701754386,0.00619816420563427,"100W",100,"W","50","#2A9D8F","#2A9D8F","T"
"32","12_100W_CW5_75.mp3",40,0,20,"CW5",2.9530701754386,3.0530701754386,0.0248664169227427,"100W",100,"W","75","#2A9D8F","#2A9D8F","T"
"33","12_100W_EWP_100.mp3",41,0,20,"EWP",4.15535714285714,4.25535714285714,0.00928001505676797,"100W",100,"W","100","#2A9D8F","#FFB703","T"
"34","12_100W_EWP_75.mp3",42,0,20,"EWP",4.15535714285714,4.25535714285714,0.00270369319090737,"100W",100,"W","75","#2A9D8F","#FFB703","T"
"35","12_100W_YBC_100.mp3",43,0,20,"YBC",1.65287356321839,1.75287356321839,0.0110926550963457,"100W",100,"W","100","#2A9D8F","#283618","T"
